row,target,prediction,exact_match,is_homophone,n_subs,n_resolved_by_grammar,homophone_subs,near_homophone_subs,other_subs,grammar_explanations
239,INFLAMMATORY OR TERRIBLE IMAGES,IN FLAMMATORY OR TERRIBLE IMAGES,False,True,1,0,0,0,1,
240,WE HAVE TO LOOK AT HOW SAUDI ARABIA,WE HAVE TO LOOK AT HOW SAUDI ARABIA,True,True,0,0,0,0,0,
241,IN TERMS OF BRITAIN,IN TERMS OF BRITAIN,True,True,0,0,0,0,0,
242,TO THE AVERAGE PERSON,TO THE AVERAGE PERSON,True,True,0,0,0,0,0,
243,THERE'S A FAIR CHANCE YOU WILL BE,THERE'S A FAIR CHANCE YOU WILL BE,True,True,0,0,0,0,0,
244,ABOUT 2 MILLION,ABOUT 2 MILLION,True,False,0,0,0,0,0,
245,WHEN IT COMES TO THE ISSUE OF EQUAL MARRIAGE,WHEN IT COMES TO THE ISSUE OF EQUAL MARRIAGE,True,True,0,0,0,0,0,
246,TO ALLOW BAD SURVEILLANCE TO WITHER ON THE VINE,TO ALLOW BAD SURVEILLANCE TO WITHER ON THE VINE,True,True,0,0,0,0,0,
247,IF YOU DON'T LIKE THE SLOGAN,IF YOU DON'T LIKE THE SLOGAN,True,True,0,0,0,0,0,
248,YOU HAVE A PROBLEM WITH IT,YOU HAVE A PROBLEM WITH IT,True,True,0,0,0,0,0,
249,IN ALL SERIOUSNESS,IN ALL SERIOUSNESS,True,True,0,0,0,0,0,
250,BUT IT HAS ESTABLISHED THE INFRASTRUCTURE OF A POLICE STATE AND IT COULD BE OPEN TO ABUSE IN THE,BUT IT HAS ESTABLISHED THE INFRASTRUCTURE OF A POLICE STATE AND IT COULD BE OPEN TO ABUSE IN THE,True,True,0,0,0,0,0,
251,I HAVE NOTHING TO HIDE,I HAVE NOTHING TO HIDE,True,True,0,0,0,0,0,
252,BETTER STREET LIGHTING CAN HELP,BETTER STREET LIGHTING CAN HELP,True,True,0,0,0,0,0,
253,THE NEXT GENERATION,THE NEXT GENERATION,True,True,0,0,0,0,0,
254,I'M NOT JEREMY VINE,I'M NOT JEREMY VINE,True,True,0,0,0,0,0,
255,STANDING IN FOR YOUR REGULAR HOST FOR ONE WEEK ONLY,STANDING IN FOR YOUR REGULAR HOST FOR ONE WEEK ONLY,True,True,0,0,0,0,0,
256,AND WHAT A PRIVILEGE THAT IS,AND WHAT A PRIVILEGE THAT IS,True,False,0,0,0,0,0,
257,IF YOU'RE WATCHING,IF YOU'RE WATCHING,True,False,0,0,0,0,0,
258,THAT'S ALL FOR THIS WEEK,THAT'S ALL FOR THIS WEEK,True,True,0,0,0,0,0,
259,ACROSS 95 MILES,ACROSS 95 MILES,True,False,0,0,0,0,0,
260,A FLOATING HOTEL,A FLOATING HOTEL,True,False,0,0,0,0,0,
261,IN THE FORM OF A DESSERT PLATE,IN THE FORM OF A DESSERT PLATE,True,True,0,0,0,0,0,
262,REGARDING ONE OF BRITAIN'S MOST NOTED,REGARDING ONE OF BRITAIN'S MOST NOTED,True,True,0,0,0,0,0,
263,THAT MAKES A GRAND TOTAL OF SIX,THAT MAKES A GRAND TOTAL OF 6,False,False,1,0,0,0,1,
264,IN A MODERN HOUSE,IN A MODERN HOUSE,True,True,0,0,0,0,0,
265,THE PERFECT PINT,THE PERFECT PAINT,False,False,1,0,0,0,1,
266,THEY'RE ALL ABOUT THE SAME,THEY'RE ALL ABOUT THE SAME,True,False,0,0,0,0,0,
267,WE HAVE RUN OUT OF TIME,WE HAVE RUN OUT OF TIME,True,True,0,0,0,0,0,
268,LOUISE AND KEVIN,LOUISE AND KEVIN,True,False,0,0,0,0,0,
269,NOW THEY ARE GATHERING,NOW THEY ARE GATHERING,True,True,0,0,0,0,0,
270,ALL LIFE IN THE ARCTIC,ALL LIFE IN THE ARCTIC,True,True,0,0,0,0,0,
271,COULD WE ARRANGE THAT,COULD WE ARRANGE THAT,True,True,0,0,0,0,0,
272,I WAS FINE YESTERDAY,I WAS FINE YESTERDAY,True,True,0,0,0,0,0,
273,LET'S NOT MESS ABOUT,LET'S NOT MESS ABOUT,True,True,0,0,0,0,0,
274,WHAT I CAN TELL YOU,WHAT I CAN TELL YOU,True,True,0,0,0,0,0,
275,THIS IS SOUTH WELL,THIS IS SOUTHWELL,False,False,1,0,0,0,1,
276,THE ROMANS FELT THEIR PRESENCE WAS STRONG ENOUGH HERE,THE ROMANS FELT THEIR PRESENCE WAS STRONG ENOUGH HERE,True,True,0,0,0,0,0,
277,TO SAY TO THE KING,TO SAY TO THE KING,True,True,0,0,0,0,0,
278,WHEN HE WAS STAYING AT THE PALACE,WHEN HE WAS STAYING AT THE PALACE,True,True,0,0,0,0,0,
279,HOME TO AN ANIMAL THAT IS RIGHT AT THE TOP OF THE FOOD CHAIN,HOME TO AN ANIMAL THAT IS RIGHT AT THE TOP OF THE FOOD CHAIN,True,True,0,0,0,0,0,
280,LITERALLY TWO MINUTES FROM THE AIRPORT,LITERALLY TWO MINUTES FROM THE AIRPORT,True,True,0,0,0,0,0,
281,MAYBE MORE OF STEEL AND IRON,MAYBE MORE OF STEEL AND IRON,True,True,0,0,0,0,0,
282,WHICH MELTS MORE ICE,WHICH MELTS MORE ICE,True,True,0,0,0,0,0,
283,THINK ABOUT THE MELTING SEA ICE,THINK ABOUT THE MELTING ICE,False,True,0,0,0,0,0,
284,AGAIN OPEN TO THE ELEMENTS,AGAIN OPEN TO THE ELEMENTS,True,True,0,0,0,0,0,
285,VERY ATTRACTIVE YOUNG WOMAN,VERY ATTRACTIVE YOUNG WOMAN,True,True,0,0,0,0,0,
286,AND THAT HAD AN IMPORTANT EFFECT,AND THAT HAD AN IMPORTANT EFFECT,True,True,0,0,0,0,0,
287,PROVIDED BY THE RAILWAYS,PROVIDED BY THE RAILWAYS,True,True,0,0,0,0,0,
288,THE GREAT THING ABOUT THE RAILWAYS IS,THE GREAT THING ABOUT THE RAILWAYS IS,True,False,0,0,0,0,0,
289,EVERYONE ARRIVES AT THE SAME PLACE AT THE SAME TIME,EVERYONE ARRIVES AT THE SAME PLACE AT THE same TIME,True,False,0,0,0,0,0,
290,THERE IS ONE THING,THERE IS ONE THING,True,True,0,0,0,0,0,
291,IT MIGHT BE BONFIRE NIGHT,IT MIGHT BE BONFIRE NIGHT,True,True,0,0,0,0,0,
292,OF COURSE IT WILL,OF COURSE IT WILL,True,True,0,0,0,0,0,
293,TODAY'S CONTESTANTS ARE,TODAY'S CONTESTANTS ARE,True,True,0,0,0,0,0,
294,I FEEL GUILTY WHEN I'M AT HOME,I FEEL GUILTY WHEN I'M AT HOME,True,True,0,0,0,0,0,
295,I WILL ALWAYS NEED YOU,I WILL ALWAYS NEED YOU,True,True,0,0,0,0,0,
296,AS YOU MIGHT SAY,AS YOU MIGHT SAY,True,True,0,0,0,0,0,
297,BUT MY GOODNESS,BUT MY GOODNESS,True,True,0,0,0,0,0,
298,ALSO KNOWN AS A TANDEM,ALSO KNOWN AS A TANDEM,True,False,0,0,0,0,0,
299,SO I THINK IT IS A PIECE OF VERY ONE DIMENSIONAL LEFT WING PROPAGANDA,SO I THINK IT IS A PIECE OF VERY ONE DIMENSIONAL LEFT WING PROPAGANDA,True,True,0,0,0,0,0,
300,THERE IS A HUGE CROSSOVER BETWEEN THE TWO,THERE IS A HUGE CROSS OVER BETWEEN THE TWO,False,True,1,0,0,0,1,
301,TAX CREDITS ARE BASICALLY BENEFITS,TAX CREDITS ARE BASICALLY BENEFITS,True,True,0,0,0,0,0,
302,FORMERLY KNOWN AS SIMON,FORMERLY KNOWN AS SIMON,True,False,0,0,0,0,0,
303,I FEEL LIKE THIS,I FEEL LIKE THIS,True,True,0,0,0,0,0,
304,BECAUSE THAT'S HOW YOU ARE A PART OF SOCIETY,BECAUSE THAT'S HOW YOU ARE A PART OF SOCIETY,True,True,0,0,0,0,0,
305,BEFORE I CAME OUT,BEFORE I CAME OUT,True,True,0,0,0,0,0,
306,OR MORE CORRECTLY COUNCILS,OR MORE CORRECTLY COUNCILS,True,True,0,0,0,0,0,
307,ESPECIALLY AS IT RELATES TO CHILDREN,ESPECIALLY AS IT RELATES TO CHILDREN,True,True,0,0,0,0,0,
308,THEY ARE CHILDREN,THEY ARE CHILDREN,True,True,0,0,0,0,0,
309,I DO HOPE YOU'LL JOIN US THEN,I DO HOPE YOU'LL JOIN US THEN,True,True,0,0,0,0,0,
310,ISLAM ALLOWS POLYGAMY,ISLAM ALLOWS POLIGAMY,False,False,1,0,0,0,1,
311,IF YOU HAVEN'T CAUGHT IT YET,IF YOU HAVEN'T CAUGHT IT YET,True,True,0,0,0,0,0,
312,HERSELF CURRENTLY LEARNING TO SIGN,HERSELF CURRENTLY LEARNING TO SIGN,True,True,0,0,0,0,0,
313,SOME PEOPLE HERE TONIGHT PREFER SUBTITLES,SOME PEOPLE HERE TONIGHT PREFER SUBTITLES,True,True,0,0,0,0,0,
314,SURELY AS A MATTER OF PRINCIPLE,SURELY AS A MATTER OF PRINCIPLE,True,True,0,0,0,0,0,
315,IF YOU'RE WATCHING,IF YOU'RE WATCHING,True,False,0,0,0,0,0,
316,STANDARD RATES APPLY,STANDARD RATES APPLY,True,False,0,0,0,0,0,
317,HASN'T TIME FLOWN,HASN'T TIME FLOWN,True,False,0,0,0,0,0,
318,WHEN MY HUSBAND AND I ARE NOT AROUND,WHEN MY HUSBAND AND I ARE NOT AROUND,True,True,0,0,0,0,0,
319,ASKING FOR PERMISSION,ASKING FOR PERMISSION,True,True,0,0,0,0,0,
320,AND IT WAS TOTALLY NORMAL,AND IT WAS TOTALLY NORMAL,True,False,0,0,0,0,0,
321,THAT SOUNDS LIKE A PRETTY CRAZY JOB FOR ANYONE TO BE DOING,THAT SOUNDS LIKE A PRETTY CRAZY JOB FOR ANYONE TO BE DOING,True,True,0,0,0,0,0,
322,ALL MY FINGERS WERE HANGING OFF,ALL MY FINGERS WERE HANGING OFF,True,False,0,0,0,0,0,
323,I WENT TO USE MY RIGHT ARM,I WENT TO USE MY RIGHT ARM,True,True,0,0,0,0,0,
324,HE WAS SHOT AND KILLED,HE WAS SHOT AND KILLED,True,False,0,0,0,0,0,
325,IF I DIDN'T HAVE HER,IF I DIDN'T HAVE HER,True,True,0,0,0,0,0,
326,I'M WITH MARK TWAIN LIES,I'M WITH MARK TWAIN LIES,True,True,0,0,0,0,0,
327,IT'S THE INTERNET,IT'S THE INTERNET,True,False,0,0,0,0,0,
328,AND I'M WARNING YOU,AND I'M WARNING YOU,True,True,0,0,0,0,0,
329,IN THE BASEMENT,IN THE BASEMENT,True,True,0,0,0,0,0,
330,THEY HAVEN'T GONE FAR,THEY HAVEN'T GONE FAR,True,False,0,0,0,0,0,
331,TIME NOW FOR ONE OF THE GREATEST TV COMEBACKS OF OUR TIME,TIME NOW FOR ONE OF THE GREATEST TV COMEBACKS OF OUR TIME,True,True,0,0,0,0,0,
332,HAROLD IN NEIGHBOURS,HAROLD IN NEIGHBOURS,True,True,0,0,0,0,0,
333,WE NEED TO START LAYERING,WE NEED TO START LAYERING,True,True,0,0,0,0,0,
334,ONE WAS A PILOT,ONE WAS A PILOT,True,True,0,0,0,0,0,
335,SURRENDER WAS NOT AN OPTION,SURRENDER WAS NOT AN OPTION,True,True,0,0,0,0,0,
336,MANY WERE TEENAGERS ABOUT TO GET THEIR FIRST TASTE OF WAR,MANY WERE TEENAGERS ABOUT TO GET THEIR FIRST TASTE OF WAR,True,True,0,0,0,0,0,
337,HE DIED THAT VERY FIRST DAY,HE DIED THAT VERY FIRST DAY,True,True,0,0,0,0,0,
338,THIS IS ONE OF THE QUESTIONS,THIS IS ONE OF THE QUESTIONS,True,True,0,0,0,0,0,
339,CELEBRATING 100 YEARS OF WAR FILMS,CELEBRATING 100 YEARS OF WAR FILMS,True,True,0,0,0,0,0,
340,WHERE I'M GOING,WHERE I'M GOING,True,True,0,0,0,0,0,
341,BUT TEN YEARS AGO,BUT 10 YEARS AGO,False,True,1,0,0,0,1,
342,IT COULD END TONIGHT,IT COULD END TONIGHT,True,False,0,0,0,0,0,
343,BACK IN SIERRA LEONE,BACK IN SIERRA LEONE,True,True,0,0,0,0,0,
344,AND THIS WASN'T UNUSUAL,AND THIS WASN'T UNUSUAL,True,False,0,0,0,0,0,
345,AS WELL AS THE BODY,AS WELL AS THE BODY,True,False,0,0,0,0,0,
346,GIVING HOPE AND CARE TO OTHERS IS SOMETHING OUR ARMED FORCES DO WITHOUT QUESTION,GIVING HOPE AND CARE TO OTHERS IS SOMETHING OUR ARMED FORCES DO WITHOUT QUESTION,True,True,0,0,0,0,0,
347,WE HEARD THE STORY OF THE NURSE ANNA CROSS,WE HEARD THE STORY OF THE NURSE ANNE ACROSS,False,True,2,0,0,0,2,
348,TO HAVE NO CONTACT AT ALL,TO HAVE NO CONTACT AT ALL,True,True,0,0,0,0,0,
349,SHE NEEDS TO MAKE SURE THAT,SHE NEEDS TO MAKE SURE THAT,True,True,0,0,0,0,0,
350,THEY DON'T CALL THEM TEAM POCKET ROCKET FOR NOTHING,THEY DON'T CALL THEM TEAM POCKET ROCKET FOR NOTHING,True,True,0,0,0,0,0,
351,AND THE WEATHER HAS BEEN PERFECT,AND THE WEATHER HAS BEEN PERFECT,True,True,0,0,0,0,0,
352,COURAGE UNDER FIRE,COURAGE UNDER FIRE,True,False,0,0,0,0,0,
353,MOST OF HIS LIFE,MOST OF HIS LIFE,True,False,0,0,0,0,0,
354,THIS IS THE LORD ASHCROFT GALLERY,THIS IS THE LORD ASHCROFT GALLERY,True,False,0,0,0,0,0,
355,TRAPPED UNDER HEAVY ARTILLERY FIRE,TRAPPED UNDER HEAVY ARTILLERY FIRE,True,False,0,0,0,0,0,
356,TEN DAYS BEFOREHAND,TEN DAYS BEFORE HAND,False,False,1,0,0,0,1,
357,THE PRESIDENT ELECT HAS MET WITH PRESIDENT OBAMA,THE PRESIDENT ELECT HAS MET WITH PRESIDENT OBAMA,True,False,0,0,0,0,0,
358,MR TRUMP TAKES OFFICE IN JANUARY,MR TRUMP TAKES OFFICE IN JANUARY,True,True,0,0,0,0,0,
359,TODAY THEY TALKED ABOUT THE PROCESS OF TRANSITION,TODAY THEY TALKED ABOUT THE PROCESS OF TRANSITION,True,False,0,0,0,0,0,
360,WE HAVE ALL THE USUAL SUSPECTS,WE HAVE ALL THE USUAL SUSPECTS,True,True,0,0,0,0,0,
361,ANYWHERE IN THE WORLD,ANYWHERE IN THE WORLD,True,True,0,0,0,0,0,
362,DEMONSTRATES THE VALUE OF GREEN SPACE,DEMONSTRATES THE VALUE OF GREEN SPACE,True,False,0,0,0,0,0,
363,SO TEN CUBIC METRES,SO 10 CUBIC METRES,False,True,1,0,0,0,1,
364,I JUST COLLAPSED,I JUST COLLAPSED,True,True,0,0,0,0,0,
365,I'VE BEEN INVOLVED WITH THE MILITARY,I'VE BEEN INVOLVED WITH THE MILITARY,True,True,0,0,0,0,0,
366,THE ARMED FORCES,THE ARMED FORCES,True,False,0,0,0,0,0,
367,THAT KNOCK ON THE DOOR IS A MOMENT THEY WILL NEVER FORGET,THAT KNOCK ON THE DOOR IS A MOMENT THEY WILL NEVER FORGET,True,False,0,0,0,0,0,
368,WHO WAS KILLED IN AFGHANISTAN,WHO WAS KILLED IN AFGHANISTAN,True,True,0,0,0,0,0,
369,ON A ROUTINE VISIT TO AN IRAQI POLICE STATION,ON A ROUTINE VISIT TO AN IRAQI POLICE STATION,True,True,0,0,0,0,0,
370,KILLING HIM AND FIVE FRIENDS,KILLING HIM AND FIVE FRIENDS,True,True,0,0,0,0,0,
371,IT WON'T TAKE A MOMENT,IT WON'T TAKE A MOMENT,True,False,0,0,0,0,0,
372,SO WHAT IS THE ETIQUETTE,SO WHAT IS THE ETHIC,False,True,1,0,0,0,1,
373,BETWEEN THEM NOW,BETWEEN THEM NOW,True,False,0,0,0,0,0,
374,I HAVE HAD MY FITTING NOW,I HAVE HAD MY FITTING NOW,True,True,0,0,0,0,0,
375,MR KHAN SPEAKING,MR CONNIE SPEAKING,False,True,1,0,0,0,1,
376,IF WE HAVE LEARNED ONE THING OVER THE PAST YEAR,IF WE HAVE LEARNED ONE THING OVER THE PAST YEAR,True,True,0,0,0,0,0,
377,I DON'T REALLY WANT TO GO,I DON'T REALLY WANT TO GO,True,True,0,0,0,0,0,
378,RISING ABOVE IT,RISING ABOVE IT,True,False,0,0,0,0,0,
379,THE OLYMPIC SWIMMER,THE OLYMPICS SWIMMER,False,False,1,0,0,0,1,
380,I WISH I WAS MORE LIKE YOU,I WISH I WAS MORE LIKE YOU,True,True,0,0,0,0,0,
381,WHY DON'T WE ALL JUST GET ALONG,WHY DON'T WE ALL JUST GET ALONG,True,True,0,0,0,0,0,
382,A TRIBAL NATION,A TRIBAL NATION,True,False,0,0,0,0,0,
383,WHICH UPSET SOME OF OUR FEMALE RESIDENTS,WHICH UPSETS SOME OF OUR FEMALE RESIDENTS,False,True,1,0,0,0,1,
384,PUERTO RICAN STYLE,PWARE TO RECONSTRUCT,False,False,3,0,0,0,3,
385,IT WAS REALLY NICE,IT WAS REALLY NICE,True,False,0,0,0,0,0,
386,YOU WON'T HAVE LONG,YOU WON'T HAVE LONG,True,True,0,0,0,0,0,
387,ON THIS REMEMBRANCE WEEKEND,ON THIS REMEMBRANCE WEEKEND,True,False,0,0,0,0,0,
388,AN OPPORTUNITY TO PAY TRIBUTE TO ALL MEMBERS OF THE ARMED FORCES,AN OPPORTUNITY TO PAY TRIBUTE TO ALL MEMBERS OF THE ARMED FORCES,True,True,0,0,0,0,0,
389,WE WOULD LOVE TO SELL IT,WE WOULD LOVE TO SELL IT,True,True,0,0,0,0,0,
390,ONLY SEVEN PLACES REMAIN,ONLY SEVEN PLACES REMAIN,True,False,0,0,0,0,0,
391,GREAT LEONARD COHEN,GREAT LEONARD COHEN,True,False,0,0,0,0,0,
392,I LOVE WEDDINGS,I LOVE WEEDINGS,False,True,1,0,0,0,1,
393,I'VE GOT A BETTER IDEA,I'VE GOT A BETTER IDEA,True,False,0,0,0,0,0,
394,WHY DON'T WE ALL OBJECT,WHY DON'T WE ALL OBJECT,True,True,0,0,0,0,0,
395,THAT WAS AMAZING,THAT WAS AMAZING,True,False,0,0,0,0,0,
396,IT WAS AN INCREDIBLE PERFORMANCE,IT WAS AN INCREDIBLE PERFORMANCE,True,True,0,0,0,0,0,
397,IT WAS INCREDIBLE ENTERTAINMENT,IT WAS INCREDIBLE ENTERTAINMENT,True,False,0,0,0,0,0,
398,UP UNTIL LAST WEEK,UP UNTIL LAST WEEK,True,True,0,0,0,0,0,
399,THE MAN TAKES THE LEAD,THE MAN TAKES THE LEAD,True,True,0,0,0,0,0,
400,IT'S TIME NOW FOR EVERYTHING IN BETWEEN,IT'S TIME NOW FOR EVERYTHING IN BETWEEN,True,True,0,0,0,0,0,
401,I REALLY APPRECIATE IT,I REALLY APPRECIATE IT,True,True,0,0,0,0,0,
402,AND YOU'VE GOT EVERY RIGHT TO BE,AND YOU'VE GOT EVERY RIGHT TO BE,True,True,0,0,0,0,0,
403,THAT WAS FAST AND FURIOUS,THAT WAS FAST AND FURIOUS,True,False,0,0,0,0,0,
404,THAT'S NOT AN ANCIENT ROMAN MASK,THAT'S NOT AN ANCIENT ROMAN MASK,True,True,0,0,0,0,0,
405,HE'S JAPANESE MADE,HE'S JAPANESE MADE,True,True,0,0,0,0,0,
406,WHICH A LOT OF THEM WERE,WHICH A LOT OF THEM WERE,True,True,0,0,0,0,0,
407,OUR JOURNEY ISN'T OVER YET,OUR JOURNEY ISN'T OVER YET,True,True,0,0,0,0,0,
408,AND IT'S NOT JUST ANY OLD TUESDAY,AND IT'S NOT JUST ANY OLD TUESDAY,True,True,0,0,0,0,0,
409,WHO KNEW THAT ONE MAN,WHO KNEW THAT ONE MAN,True,True,0,0,0,0,0,
410,BUT IT MIGHT BE TOO LATE BY THEN,BUT IT MIGHT BE TOO LATE BY THEN,True,True,0,0,0,0,0,
411,FROM WHAT WE KNOW,FROM WHAT WE KNOW,True,True,0,0,0,0,0,
412,GRAHAM BARON ASH,GRAHAM BARRENASH,False,True,1,0,0,0,1,
413,AND THEY WERE THE FIRST PEOPLE,AND THEY WERE THE FIRST PEOPLE,True,False,0,0,0,0,0,
414,FURNITURE OR OBJECTS LIKE THAT,FURNITURE OR OBJECTS LIKE THAT,True,True,0,0,0,0,0,
415,IT WAS MADE IN GERMANY,IT WAS MADE IN GERMANY,True,True,0,0,0,0,0,
416,NO ONE WOULD LOOK TWICE,NO ONE WOULD LOOK TWICE,True,True,0,0,0,0,0,
417,THEY WERE SO INSPIRED BY IT,THEY WERE SO INSPIRED BY IT,True,True,0,0,0,0,0,
418,LEARN AS MUCH AS POSSIBLE,LEARN AS MUCH AS POSSIBLE,True,False,0,0,0,0,0,
419,KEEP GOING ON ABOUT THIS,KEEP GOING ON ABOUT THIS,True,False,0,0,0,0,0,
420,I DO NOTHING WRONG,I DO NOTHING WRONG,True,True,0,0,0,0,0,
421,THIS IS WHERE THE SURPRISES HAPPEN,THIS IS WHERE THE SURPRISES HAPPEN,True,True,0,0,0,0,0,
422,IT'S TIME TO RETURN TO WOLVERHAMPTON,IT'S TIME TO RETURN TO WOLVERHAMPTON,True,True,0,0,0,0,0,
423,THEY DECIDED TO TIE THE KNOT,THEY DECIDED TO TIE THE KNOT,True,True,0,0,0,0,0,
424,EVERYWHERE YOU GO AROUND HERE,EVERYWHERE YOU GO AROUND HERE,True,True,0,0,0,0,0,
425,WE HAVE SOME UNFINISHED BUSINESS TO DO IN THE AUCTION ROOM,WE HAVE SOME UNFINISHED BUSINESS TO DO IN THE AUCTION ROOM,True,True,0,0,0,0,0,
426,WE HAVE GONE DIGITAL,WE HAVE GONE DIGITAL,True,True,0,0,0,0,0,
427,AND AFTER REACHING OUT TO HIM ON THE SHOW,AND AFTER REACHING OUT TO HIM ON THE SHOW,True,True,0,0,0,0,0,
428,RUN FOR COVER IF YOU CAN,RUN FOR COVER IF YOU CAN,True,True,0,0,0,0,0,
429,THEY ARE UNDER A LOT OF STRESS,THEY ARE UNDER A LOT OF STRESS,True,True,0,0,0,0,0,
430,WELCOME TO THE TOWER,WELCOME TO THE TOWER,True,True,0,0,0,0,0,
431,WAS IT YOUR CHOICE,WAS IT YOUR CHOICE,True,False,0,0,0,0,0,
432,YOU REALLY FEEL A PART OF IT,YOU REALLY FEEL A PART OF IT,True,True,0,0,0,0,0,
433,SO WONDERFUL TO SEE THAT,SO WONDERFUL TO SEE THAT,True,True,0,0,0,0,0,
434,FOR ME IT DOESN'T MAKE SENSE,FOR ME IT DOESN'T MAKE SENSE,True,True,0,0,0,0,0,
435,IF WE HAVE A BELIEF IN REINCARNATION,IF WE HAVE A BELIEF IN REINCARNATION,True,True,0,0,0,0,0,
436,EVEN THOUGH HER FATHER AT THAT TIME DISAGREED,EVEN THOUGH HER FATHER AT THAT TIME DISAGREED,True,False,0,0,0,0,0,
437,SO WHEN THE BODY IS BROUGHT BACK,SO WHEN THE BODY IS BROUGHT BACK,True,True,0,0,0,0,0,
438,MY FIRST GRANDDAUGHTER,MY FIRST GRANDDAUGHTER,True,False,0,0,0,0,0,
439,NON VIOLENT OFFENCES,NON VIOLENT OFFENCES,True,False,0,0,0,0,0,
440,THERE ARE A LOT OF PEOPLE,THERE ARE A LOT OF PEOPLE,True,True,0,0,0,0,0,
441,BUT I COME ACROSS TRAINING PRISONS NOW,BUT I COME ACROSS TRAINING PRISONS NOW,True,True,0,0,0,0,0,
442,THE COST OF THIS FAILURE,THE COST OF THIS FAILURE,True,False,0,0,0,0,0,
443,THE AVERAGE COST OF KEEPING A PERSON IN PRISON IS 36,THE AVERAGE COST OF KEEPING A PERSON IN PRISON IS 36,True,True,0,0,0,0,0,
444,THE MOST FAMOUS OF THEM ALL HAVE TO BE THE WORKS OF THE BRONTE SISTERS,THE MOST FAMOUS OF THEM ALL HAVE TO BE THE WORKS OF THE BRONTË SISTERS,False,True,1,0,0,0,1,
445,IN TERMS OF FIRE SERVICE RESOURCES,IN TERMS OF FIRE SERVICE RESOURCES,True,True,0,0,0,0,0,
446,RATHER THAN USING DRUGS,RATHER THAN USING DRUGS,True,False,0,0,0,0,0,
447,HAVE YOU ORDERED YOURS YET,HAVE YOU ORDERED YOURS YET,True,True,0,0,0,0,0,
448,BUT THESE ARE ONE OF THE MOST WARY BIRDS IN THE WORLD,BUT THESE ARE ONE OF THE MOST WARY BIRDS IN THE WORLD,True,True,0,0,0,0,0,
449,THAT'S NOT WHAT I WAS EXPECTING AT ALL,THAT'S NOT WHAT I WAS EXPECTING AT ALL,True,True,0,0,0,0,0,
450,I LOVE SYLLABLES,I LOVE SYLLABLES,True,True,0,0,0,0,0,
451,AND YOU KNOW WHAT THIS MEANS,AND YOU KNOW WHAT THIS MEANS,True,True,0,0,0,0,0,
452,WE MIGHT FIND SOME MARITIME MEMORABILIA,WE MIGHT FIND SOME MARATIME MEMORABILIA,False,True,1,0,0,0,1,
453,IT'S A WONDERFUL,IT'S A WONDERFUL,True,False,0,0,0,0,0,
454,STOCKS AND SHARES,STOCKS AND SHARES,True,False,0,0,0,0,0,
455,AND IN THE PROCESS OF ME NOT OFFENDING GOD,AND IN THE PROCESS OF ME NOT OFFERING GOD,False,True,1,0,0,0,1,
456,I DON'T CARE WHAT THE COST IS,I DON'T CARE WHAT THE COST IS,True,True,0,0,0,0,0,
457,BECAUSE THE WHOLE POINT OF 9 11 IS THAT IT'S THE JUSTIFICATION FOR THE POLICE STATE,BECAUSE THE WHOLE POINT OF 9/11 IS THAT IT'S THE JUSTIFICATION FOR THE POLICE STATE,False,True,1,0,0,0,1,
458,AND I GUESS THAT'S WHAT'S HAPPENING HERE,AND I GUESS THAT'S WHAT'S HAPPENING HERE,True,True,0,0,0,0,0,
459,AND FROM WHAT I'VE HEARD,AND FROM WHAT I'VE HEARD,True,True,0,0,0,0,0,
460,AND IT'S ALL ABOUT THE CONTEXT,AND IT'S ALL ABOUT THE CONTEXT,True,False,0,0,0,0,0,
461,CHILD OF THE MILLENNIUM,CHILD OF THE MOLYNEUX,False,False,1,0,0,0,1,
462,TWO APPOINTMENTS LATER,TWO APPOINTMENTS LATER,True,True,0,0,0,0,0,
463,THE MAN WHO CARES ABOUT ANIMALS,THE MAN WHO CARES ABOUT ANIMALS,True,False,0,0,0,0,0,
464,GUESS WHAT I'M TALKING ABOUT RIGHT NOW,GUESS WHAT I'M TALKING ABOUT RIGHT NOW,True,True,0,0,0,0,0,
465,HERE TO GIVE US A RUNDOWN OF THE GREATEST FACIAL CHOREOGRAPHY EVER SEEN ON THE BOX,HERE TO GIVE US A RUN DOWN OF THE GREATEST FAMILIAL CHOREOGRAPHY EVER SEEN ON THE BOX,False,True,2,0,0,0,2,
466,FACE TO REALLY TELL THE STORY,FACE TO REALLY TELL THE STORY,True,True,0,0,0,0,0,
467,GET YOURSELF OVER HERE BECAUSE FIRST UP TONIGHT,GET YOURSELF OVER HERE BECAUSE FIRST UP TONIGHT,True,True,0,0,0,0,0,
468,IF YOU WANT TO KNOW WHAT THE KIDS ARE LISTENING TO THESE DAYS,IF YOU WANT TO KNOW WHAT THE KIDS ARE LISTENING TO THESE DAYS,True,True,0,0,0,0,0,
469,LOUISE AND KEVIN,LOUISE AND KEVIN,True,False,0,0,0,0,0,
470,AND IT'S THE ONE THAT,AND IT'S THE ONE THAT,True,True,0,0,0,0,0,
471,THAT WAS BEAUTIFUL,THAT WAS BEAUTIFUL,True,False,0,0,0,0,0,
472,ON INTERNATIONAL WOMEN'S DAY,ON INTERNATIONAL WOMEN'S DAY,True,True,0,0,0,0,0,
473,AND WENT ON THE ORDINARY WING,AND WENT ON THE ORDINARY WING,True,False,0,0,0,0,0,
