target,prediction,target_phonemes,prediction_phonemes,is_homophone,exact_match,comment,bucket,bucket_reason
TEARING IT TO THE GROUND,TERRIFYING IT TO THE GROUND,T EH R IH NG | IH T | T UW | DH AH | G R AW N D,T EH R AH F AY IH NG | IH T | T UW | DH AH | G R AW N D,True,False,,homophone_substitution,phoneme overlap 4/5=0.80 (high)
THERE WAS A PORTCULLIS,THERE WAS A PERKELLIS,DH EH R | W AA Z | AH | ?,DH EH R | W AA Z | AH | ?,True,False,,homophone_substitution,phoneme overlap 4/4=1.00 (high)
PEOPLE SAT ON THE STAIRS,PEOPLE SAT ON THE STAIRS,P IY P AH L | S AE T | AA N | DH AH | S T EH R Z,P IY P AH L | S AE T | AA N | DH AH | S T EH R Z,False,True,,homophone_substitution,phoneme overlap 5/5=1.00 (high)
WHICH IS IDEAL FOR IT,WHICH IS IDEAL FOR IT,W IH CH | IH Z | AY D IY L | F AO R | IH T,W IH CH | IH Z | AY D IY L | F AO R | IH T,True,True,,homophone_substitution,phoneme overlap 5/5=1.00 (high)
CRACKS WILL APPEAR,CRACKS WILL APPEAR,K R AE K S | W IH L | AH P IH R,K R AE K S | W IH L | AH P IH R,False,True,,homophone_substitution,phoneme overlap 3/3=1.00 (high)
SOMEONE CAME OUT OF A NEIGHBOURING PROPERTY AND SAID,SOMEONE CAME OUT OF A NEIGHBOURING PROPERTY AND SAID,S AH M W AH N | K EY M | AW T | AH V | AH | ? | P R AA P ER T IY | AH N D | S EH D,S AH M W AH N | K EY M | AW T | AH V | AH | ? | P R AA P ER T IY | AH N D | S EH D,False,True,,homophone_substitution,phoneme overlap 9/9=1.00 (high)
VERY EXPENSIVE SHED,VERY EXPENSIVE SHED,V EH R IY | IH K S P EH N S IH V | SH EH D,V EH R IY | IH K S P EH N S IH V | SH EH D,True,True,,homophone_substitution,phoneme overlap 3/3=1.00 (high)
WITHOUT MY SUNGLASSES,WITHOUT MY SUNGLASSES,W IH TH AW T | M AY | S AH N G L AE S IH Z,W IH TH AW T | M AY | S AH N G L AE S IH Z,False,True,,homophone_substitution,phoneme overlap 3/3=1.00 (high)
EVEN THE FOREPLAY,EVEN THE FOUR PLAY,IY V IH N | DH AH | F AO R P L EY,IY V IH N | DH AH | F AO R | P L EY,False,False,boundary hallucination: space inserted between FORE- and PLAY,homophone_substitution,phoneme overlap 2/4=0.50 (high)
AND THEN WHEN IT CAME TO HIS SIGNATURE,AND THEN WHEN IT CAME TO HIS SIGNATURE,AH N D | DH EH N | W EH N | IH T | K EY M | T UW | HH IH Z | S IH G N AH CH ER,AH N D | DH EH N | W EH N | IH T | K EY M | T UW | HH IH Z | S IH G N AH CH ER,True,True,,homophone_substitution,phoneme overlap 8/8=1.00 (high)
IT'S A BAKING SHOW,IT'S A BAKING SHOW,IH T S | AH | B EY K IH NG | SH OW,IH T S | AH | B EY K IH NG | SH OW,False,True,,homophone_substitution,phoneme overlap 4/4=1.00 (high)
SHE'S PUSHED HERSELF,SHE'S PUSHED HERSELF,SH IY Z | P UH SH T | HH ER S EH L F,SH IY Z | P UH SH T | HH ER S EH L F,False,True,,homophone_substitution,phoneme overlap 3/3=1.00 (high)
IT SOUNDS WRONG,IT SOUNDS WRONG,IH T | S AW N D Z | R AO NG,IH T | S AW N D Z | R AO NG,False,True,,homophone_substitution,phoneme overlap 3/3=1.00 (high)
WHAT HAVE YOU LEARNED,WHAT HAVE YOU LEARNED,W AH T | HH AE V | Y UW | L ER N D,W AH T | HH AE V | Y UW | L ER N D,True,True,,homophone_substitution,phoneme overlap 4/4=1.00 (high)
CHILDREN AND ADULTS ALIKE,CHILDREN AND ADULTS ALIKE,CH IH L D R AH N | AH N D | AH D AH L T S | AH L AY K,CH IH L D R AH N | AH N D | AH D AH L T S | AH L AY K,False,True,,homophone_substitution,phoneme overlap 4/4=1.00 (high)
THAT'S A SHOCKING PERCENTAGE,THAT'S A SHOCKING PERCENTAGE,DH AE T S | AH | SH AA K IH NG | P ER S EH N T AH JH,DH AE T S | AH | SH AA K IH NG | P ER S EH N T AH JH,False,True,,homophone_substitution,phoneme overlap 4/4=1.00 (high)
I'M JUST HOPEFUL,I'M JUST HOPEFUL,AY M | JH AH S T | HH OW P F AH L,AY M | JH AH S T | HH OW P F AH L,False,True,,homophone_substitution,phoneme overlap 3/3=1.00 (high)
WE HAVE A LOT LESS ATMOSPHERE ABOVE US,WE HAVE A LOT LESS ATMOSPHERE ABOVE US,W IY | HH AE V | AH | L AA T | L EH S | AE T M AH S F IH R | AH B AH V | AH S,W IY | HH AE V | AH | L AA T | L EH S | AE T M AH S F IH R | AH B AH V | AH S,True,True,,homophone_substitution,phoneme overlap 8/8=1.00 (high)
NO LONGER WOULD MEASUREMENT BE BASED ON THE HUMAN BODY,NO LONGER WOULD MEASUREMENT BE BASED ON THE HUMAN BODY,N OW | L AO NG G ER | W UH D | M EH ZH ER M AH N T | B IY | B EY S T | AA N | DH AH | HH Y UW M AH N | B AA D IY,N OW | L AO NG G ER | W UH D | M EH ZH ER M AH N T | B IY | B EY S T | AA N | DH AH | HH Y UW M AH N | B AA D IY,True,True,,homophone_substitution,phoneme overlap 10/10=1.00 (high)
NO LONGER DEPENDENT ON THE SUN,NO LONGER DEPENDENT ON THE SUN,N OW | L AO NG G ER | D IH P EH N D AH N T | AA N | DH AH | S AH N,N OW | L AO NG G ER | D IH P EH N D AH N T | AA N | DH AH | S AH N,True,True,,homophone_substitution,phoneme overlap 6/6=1.00 (high)
WHILE I'M SURROUNDED BY WATER RIGHT NOW,WHILE I'M SURROUNDED BY WATER RIGHT NOW,W AY L | AY M | S ER AW N D AH D | B AY | W AO T ER | R AY T | N AW,W AY L | AY M | S ER AW N D AH D | B AY | W AO T ER | R AY T | N AW,True,True,,homophone_substitution,phoneme overlap 7/7=1.00 (high)
OUR CONTINUED PRESSURE,OUR CONTINUED PRESSURE,AW ER | K AH N T IH N Y UW D | P R EH SH ER,AW ER | K AH N T IH N Y UW D | P R EH SH ER,True,True,,homophone_substitution,phoneme overlap 3/3=1.00 (high)
AND INFLAMMATORY PHOTOGRAPH,AND IN FLAMATORY PHOTOGRAPH,AH N D | IH N F L AE M AH T AO R IY | F OW T AH G R AE F,AH N D | IH N | ? | F OW T AH G R AE F,False,False,boundary hallucination + non-word: IN- split and FLAMATORY is invalid,semantic_substitution,prediction has CMU OOV AND phoneme-word count differs (tgt=3 hyp=4)
INFLAMMATORY OR TERRIBLE IMAGES,IN FLAMMATORY OR TERRIBLE IMAGES,IH N F L AE M AH T AO R IY | AO R | T EH R AH B AH L | IH M AH JH AH Z,IH N | ? | AO R | T EH R AH B AH L | IH M AH JH AH Z,True,False,,boundary_hallucination,"same letters, space differs (tgt_words=4 hyp_words=5)"
WE HAVE TO LOOK AT HOW SAUDI ARABIA,WE HAVE TO LOOK AT HOW SAUDI ARABIA,W IY | HH AE V | T UW | L UH K | AE T | HH AW | S AO D IY | ER EY B IY AH,W IY | HH AE V | T UW | L UH K | AE T | HH AW | S AO D IY | ER EY B IY AH,True,True,,homophone_substitution,phoneme overlap 8/8=1.00 (high)
IN TERMS OF BRITAIN,IN TERMS OF BRITAIN,IH N | T ER M Z | AH V | B R IH T AH N,IH N | T ER M Z | AH V | B R IH T AH N,True,True,,homophone_substitution,phoneme overlap 4/4=1.00 (high)
TO THE AVERAGE PERSON,TO THE AVERAGE PERSON,T UW | DH AH | AE V ER IH JH | P ER S AH N,T UW | DH AH | AE V ER IH JH | P ER S AH N,True,True,,homophone_substitution,phoneme overlap 4/4=1.00 (high)
THERE'S A FAIR CHANCE YOU WILL BE,THERE'S A FAIR CHANCE YOU WILL BE,DH EH R Z | AH | F EH R | CH AE N S | Y UW | W IH L | B IY,DH EH R Z | AH | F EH R | CH AE N S | Y UW | W IH L | B IY,True,True,,homophone_substitution,phoneme overlap 7/7=1.00 (high)
ABOUT 2 MILLION,ABOUT 2 MILLION,AH B AW T | ? | M IH L Y AH N,AH B AW T | ? | M IH L Y AH N,False,True,,homophone_substitution,phoneme overlap 3/3=1.00 (high)
WHEN IT COMES TO THE ISSUE OF EQUAL MARRIAGE,WHEN IT COMES TO THE ISSUE OF EQUAL MARRIAGE,W EH N | IH T | K AH M Z | T UW | DH AH | IH SH UW | AH V | IY K W AH L | M EH R IH JH,W EH N | IH T | K AH M Z | T UW | DH AH | IH SH UW | AH V | IY K W AH L | M EH R IH JH,True,True,,homophone_substitution,phoneme overlap 9/9=1.00 (high)
TO ALLOW BAD SURVEILLANCE TO WITHER ON THE VINE,TO ALLOW BAD SURVEILLANCE TO WITHER ON THE VINE,T UW | AH L AW | B AE D | S ER V EY L AH N S | T UW | W IH DH ER | AA N | DH AH | V AY N,T UW | AH L AW | B AE D | S ER V EY L AH N S | T UW | W IH DH ER | AA N | DH AH | V AY N,True,True,,homophone_substitution,phoneme overlap 8/8=1.00 (high)
IF YOU DON'T LIKE THE SLOGAN,IF YOU DON'T LIKE THE SLOGAN,IH F | Y UW | D OW N T | L AY K | DH AH | S L OW G AH N,IH F | Y UW | D OW N T | L AY K | DH AH | S L OW G AH N,True,True,,homophone_substitution,phoneme overlap 6/6=1.00 (high)
YOU HAVE A PROBLEM WITH IT,YOU HAVE A PROBLEM WITH IT,Y UW | HH AE V | AH | P R AA B L AH M | W IH DH | IH T,Y UW | HH AE V | AH | P R AA B L AH M | W IH DH | IH T,True,True,,homophone_substitution,phoneme overlap 6/6=1.00 (high)
IN ALL SERIOUSNESS,IN ALL SERIOUSNESS,IH N | AO L | S IH R IY AH S N AH S,IH N | AO L | S IH R IY AH S N AH S,True,True,,homophone_substitution,phoneme overlap 3/3=1.00 (high)
BUT IT HAS ESTABLISHED THE INFRASTRUCTURE OF A POLICE STATE AND IT COULD BE OPEN TO ABUSE IN THE,BUT IT HAS ESTABLISHED THE INFRASTRUCTURE OF A POLICE STATE AND IT COULD BE OPEN TO ABUSE IN THE,B AH T | IH T | HH AE Z | IH S T AE B L IH SH T | DH AH | IH N F R AH S T R AH K CH ER | AH V | AH | P AH L IY S | S T EY T | AH N D | IH T | K UH D | B IY | OW P AH N | T UW | AH B Y UW S | IH N | DH AH,B AH T | IH T | HH AE Z | IH S T AE B L IH SH T | DH AH | IH N F R AH S T R AH K CH ER | AH V | AH | P AH L IY S | S T EY T | AH N D | IH T | K UH D | B IY | OW P AH N | T UW | AH B Y UW S | IH N | DH AH,True,True,,homophone_substitution,phoneme overlap 17/17=1.00 (high)
I HAVE NOTHING TO HIDE,I HAVE NOTHING TO HIDE,AY | HH AE V | N AH TH IH NG | T UW | HH AY D,AY | HH AE V | N AH TH IH NG | T UW | HH AY D,True,True,,homophone_substitution,phoneme overlap 5/5=1.00 (high)
BETTER STREET LIGHTING CAN HELP,BETTER STREET LIGHTING CAN HELP,B EH T ER | S T R IY T | L AY T IH NG | K AE N | HH EH L P,B EH T ER | S T R IY T | L AY T IH NG | K AE N | HH EH L P,True,True,,homophone_substitution,phoneme overlap 5/5=1.00 (high)
THE NEXT GENERATION,THE NEXT GENERATION,DH AH | N EH K S T | JH EH N ER EY SH AH N,DH AH | N EH K S T | JH EH N ER EY SH AH N,True,True,,homophone_substitution,phoneme overlap 3/3=1.00 (high)
I'M NOT JEREMY VINE,I'M NOT JEREMY VINE,AY M | N AA T | JH EH R AH M IY | V AY N,AY M | N AA T | JH EH R AH M IY | V AY N,True,True,,homophone_substitution,phoneme overlap 4/4=1.00 (high)
STANDING IN FOR YOUR REGULAR HOST FOR ONE WEEK ONLY,STANDING IN FOR YOUR REGULAR HOST FOR ONE WEEK ONLY,S T AE N D IH NG | IH N | F AO R | Y AO R | R EH G Y AH L ER | HH OW S T | F AO R | W AH N | W IY K | OW N L IY,S T AE N D IH NG | IH N | F AO R | Y AO R | R EH G Y AH L ER | HH OW S T | F AO R | W AH N | W IY K | OW N L IY,True,True,,homophone_substitution,phoneme overlap 9/9=1.00 (high)
AND WHAT A PRIVILEGE THAT IS,AND WHAT A PRIVILEGE THAT IS,AH N D | W AH T | AH | P R IH V L AH JH | DH AE T | IH Z,AH N D | W AH T | AH | P R IH V L AH JH | DH AE T | IH Z,False,True,,homophone_substitution,phoneme overlap 6/6=1.00 (high)
IF YOU'RE WATCHING,IF YOU'RE WATCHING,IH F | Y UH R | W AA CH IH NG,IH F | Y UH R | W AA CH IH NG,False,True,,homophone_substitution,phoneme overlap 3/3=1.00 (high)
THAT'S ALL FOR THIS WEEK,THAT'S ALL FOR THIS WEEK,DH AE T S | AO L | F AO R | DH IH S | W IY K,DH AE T S | AO L | F AO R | DH IH S | W IY K,True,True,,homophone_substitution,phoneme overlap 5/5=1.00 (high)
ACROSS 95 MILES,ACROSS 95 MILES,AH K R AO S | ? | M AY L Z,AH K R AO S | ? | M AY L Z,False,True,,homophone_substitution,phoneme overlap 3/3=1.00 (high)
A FLOATING HOTEL,A FLOATING HOTEL,AH | F L OW T IH NG | HH OW T EH L,AH | F L OW T IH NG | HH OW T EH L,False,True,,homophone_substitution,phoneme overlap 3/3=1.00 (high)
IN THE FORM OF A DESSERT PLATE,IN THE FORM OF A DESSERT PLATE,IH N | DH AH | F AO R M | AH V | AH | D IH Z ER T | P L EY T,IH N | DH AH | F AO R M | AH V | AH | D IH Z ER T | P L EY T,True,True,,homophone_substitution,phoneme overlap 7/7=1.00 (high)
REGARDING ONE OF BRITAIN'S MOST NOTED,REGARDING ONE OF BRITAIN'S MOST NOTED,R AH G AA R D IH NG | W AH N | AH V | B R IH T AH N Z | M OW S T | N OW T AH D,R AH G AA R D IH NG | W AH N | AH V | B R IH T AH N Z | M OW S T | N OW T AH D,True,True,,homophone_substitution,phoneme overlap 6/6=1.00 (high)
THAT MAKES A GRAND TOTAL OF SIX,THAT MAKES A GRAND TOTAL OF 6,DH AE T | M EY K S | AH | G R AE N D | T OW T AH L | AH V | S IH K S,DH AE T | M EY K S | AH | G R AE N D | T OW T AH L | AH V | ?,False,False,digit/word rendering: word SIX emitted as digit 6,digit_word_rendering,"digit/word side mismatch (tgt_digit=False, hyp_digit=True)"
IN A MODERN HOUSE,IN A MODERN HOUSE,IH N | AH | M AA D ER N | HH AW S,IH N | AH | M AA D ER N | HH AW S,True,True,,homophone_substitution,phoneme overlap 4/4=1.00 (high)
THE PERFECT PINT,THE PERFECT PAINT,DH AH | P ER F EH K T | P AY N T,DH AH | P ER F EH K T | P EY N T,False,False,homophone substitution at word level: AY -> EY vowel swap,homophone_substitution,phoneme overlap 2/3=0.67 (high)
THEY'RE ALL ABOUT THE SAME,THEY'RE ALL ABOUT THE SAME,DH EH R | AO L | AH B AW T | DH AH | S EY M,DH EH R | AO L | AH B AW T | DH AH | S EY M,False,True,,homophone_substitution,phoneme overlap 5/5=1.00 (high)
WE HAVE RUN OUT OF TIME,WE HAVE RUN OUT OF TIME,W IY | HH AE V | R AH N | AW T | AH V | T AY M,W IY | HH AE V | R AH N | AW T | AH V | T AY M,True,True,,homophone_substitution,phoneme overlap 6/6=1.00 (high)
LOUISE AND KEVIN,LOUISE AND KEVIN,L UW IY Z | AH N D | K EH V IH N,L UW IY Z | AH N D | K EH V IH N,False,True,,homophone_substitution,phoneme overlap 3/3=1.00 (high)
NOW THEY ARE GATHERING,NOW THEY ARE GATHERING,N AW | DH EY | AA R | G AE DH ER IH NG,N AW | DH EY | AA R | G AE DH ER IH NG,True,True,,homophone_substitution,phoneme overlap 4/4=1.00 (high)
ALL LIFE IN THE ARCTIC,ALL LIFE IN THE ARCTIC,AO L | L AY F | IH N | DH AH | AA R K T IH K,AO L | L AY F | IH N | DH AH | AA R K T IH K,True,True,,homophone_substitution,phoneme overlap 5/5=1.00 (high)
COULD WE ARRANGE THAT,COULD WE ARRANGE THAT,K UH D | W IY | ER EY N JH | DH AE T,K UH D | W IY | ER EY N JH | DH AE T,True,True,,homophone_substitution,phoneme overlap 4/4=1.00 (high)
I WAS FINE YESTERDAY,I WAS FINE YESTERDAY,AY | W AA Z | F AY N | Y EH S T ER D EY,AY | W AA Z | F AY N | Y EH S T ER D EY,True,True,,homophone_substitution,phoneme overlap 4/4=1.00 (high)
LET'S NOT MESS ABOUT,LET'S NOT MESS ABOUT,L EH T S | N AA T | M EH S | AH B AW T,L EH T S | N AA T | M EH S | AH B AW T,True,True,,homophone_substitution,phoneme overlap 4/4=1.00 (high)
WHAT I CAN TELL YOU,WHAT I CAN TELL YOU,W AH T | AY | K AE N | T EH L | Y UW,W AH T | AY | K AE N | T EH L | Y UW,True,True,,homophone_substitution,phoneme overlap 5/5=1.00 (high)
THIS IS SOUTH WELL,THIS IS SOUTHWELL,DH IH S | IH Z | S AW TH | W EH L,DH IH S | IH Z | S AW TH W EH L,False,False,boundary hallucination: SOUTH WELL collapsed to SOUTHWELL (merge),boundary_hallucination,"same letters, space differs (tgt_words=4 hyp_words=3)"
THE ROMANS FELT THEIR PRESENCE WAS STRONG ENOUGH HERE,THE ROMANS FELT THEIR PRESENCE WAS STRONG ENOUGH HERE,DH AH | R OW M AH N Z | F EH L T | DH EH R | P R EH Z AH N S | W AA Z | S T R AO NG | IH N AH F | HH IY R,DH AH | R OW M AH N Z | F EH L T | DH EH R | P R EH Z AH N S | W AA Z | S T R AO NG | IH N AH F | HH IY R,True,True,,homophone_substitution,phoneme overlap 9/9=1.00 (high)
TO SAY TO THE KING,TO SAY TO THE KING,T UW | S EY | T UW | DH AH | K IH NG,T UW | S EY | T UW | DH AH | K IH NG,True,True,,homophone_substitution,phoneme overlap 4/4=1.00 (high)
WHEN HE WAS STAYING AT THE PALACE,WHEN HE WAS STAYING AT THE PALACE,W EH N | HH IY | W AA Z | S T EY IH NG | AE T | DH AH | P AE L AH S,W EH N | HH IY | W AA Z | S T EY IH NG | AE T | DH AH | P AE L AH S,True,True,,homophone_substitution,phoneme overlap 7/7=1.00 (high)
HOME TO AN ANIMAL THAT IS RIGHT AT THE TOP OF THE FOOD CHAIN,HOME TO AN ANIMAL THAT IS RIGHT AT THE TOP OF THE FOOD CHAIN,HH OW M | T UW | AE N | AE N AH M AH L | DH AE T | IH Z | R AY T | AE T | DH AH | T AA P | AH V | DH AH | F UW D | CH EY N,HH OW M | T UW | AE N | AE N AH M AH L | DH AE T | IH Z | R AY T | AE T | DH AH | T AA P | AH V | DH AH | F UW D | CH EY N,True,True,,homophone_substitution,phoneme overlap 13/13=1.00 (high)
LITERALLY TWO MINUTES FROM THE AIRPORT,LITERALLY TWO MINUTES FROM THE AIRPORT,L IH T ER AH L IY | T UW | M IH N AH T S | F R AH M | DH AH | EH R P AO R T,L IH T ER AH L IY | T UW | M IH N AH T S | F R AH M | DH AH | EH R P AO R T,True,True,,homophone_substitution,phoneme overlap 6/6=1.00 (high)
MAYBE MORE OF STEEL AND IRON,MAYBE MORE OF STEEL AND IRON,M EY B IY | M AO R | AH V | S T IY L | AH N D | AY ER N,M EY B IY | M AO R | AH V | S T IY L | AH N D | AY ER N,True,True,,homophone_substitution,phoneme overlap 6/6=1.00 (high)
WHICH MELTS MORE ICE,WHICH MELTS MORE ICE,W IH CH | M EH L T S | M AO R | AY S,W IH CH | M EH L T S | M AO R | AY S,True,True,,homophone_substitution,phoneme overlap 4/4=1.00 (high)
THINK ABOUT THE MELTING SEA ICE,THINK ABOUT THE MELTING ICE,TH IH NG K | AH B AW T | DH AH | M EH L T IH NG | S IY | AY S,TH IH NG K | AH B AW T | DH AH | M EH L T IH NG | AY S,True,False,,truncation,"prediction shorter (5 vs 6), shared prefix 4/5"
AGAIN OPEN TO THE ELEMENTS,AGAIN OPEN TO THE ELEMENTS,AH G EH N | OW P AH N | T UW | DH AH | EH L AH M AH N T S,AH G EH N | OW P AH N | T UW | DH AH | EH L AH M AH N T S,True,True,,homophone_substitution,phoneme overlap 5/5=1.00 (high)
VERY ATTRACTIVE YOUNG WOMAN,VERY ATTRACTIVE YOUNG WOMAN,V EH R IY | AH T R AE K T IH V | Y AH NG | W UH M AH N,V EH R IY | AH T R AE K T IH V | Y AH NG | W UH M AH N,True,True,,homophone_substitution,phoneme overlap 4/4=1.00 (high)
AND THAT HAD AN IMPORTANT EFFECT,AND THAT HAD AN IMPORTANT EFFECT,AH N D | DH AE T | HH AE D | AE N | IH M P AO R T AH N T | IH F EH K T,AH N D | DH AE T | HH AE D | AE N | IH M P AO R T AH N T | IH F EH K T,True,True,,homophone_substitution,phoneme overlap 6/6=1.00 (high)
PROVIDED BY THE RAILWAYS,PROVIDED BY THE RAILWAYS,P R AH V AY D AH D | B AY | DH AH | R EY L W EY Z,P R AH V AY D AH D | B AY | DH AH | R EY L W EY Z,True,True,,homophone_substitution,phoneme overlap 4/4=1.00 (high)
THE GREAT THING ABOUT THE RAILWAYS IS,THE GREAT THING ABOUT THE RAILWAYS IS,DH AH | G R EY T | TH IH NG | AH B AW T | DH AH | R EY L W EY Z | IH Z,DH AH | G R EY T | TH IH NG | AH B AW T | DH AH | R EY L W EY Z | IH Z,False,True,,homophone_substitution,phoneme overlap 6/6=1.00 (high)
EVERYONE ARRIVES AT THE SAME PLACE AT THE SAME TIME,EVERYONE ARRIVES AT THE SAME PLACE AT THE same TIME,EH V R IY W AH N | ER AY V Z | AE T | DH AH | S EY M | P L EY S | AE T | DH AH | S EY M | T AY M,EH V R IY W AH N | ER AY V Z | AE T | DH AH | S EY M | P L EY S | AE T | DH AH | S EY M | T AY M,False,True,,boundary_hallucination,"same letters, space differs (tgt_words=10 hyp_words=10)"
THERE IS ONE THING,THERE IS ONE THING,DH EH R | IH Z | W AH N | TH IH NG,DH EH R | IH Z | W AH N | TH IH NG,True,True,,homophone_substitution,phoneme overlap 4/4=1.00 (high)
IT MIGHT BE BONFIRE NIGHT,IT MIGHT BE BONFIRE NIGHT,IH T | M AY T | B IY | B AA N F AY ER | N AY T,IH T | M AY T | B IY | B AA N F AY ER | N AY T,True,True,,homophone_substitution,phoneme overlap 5/5=1.00 (high)
OF COURSE IT WILL,OF COURSE IT WILL,AH V | K AO R S | IH T | W IH L,AH V | K AO R S | IH T | W IH L,True,True,,homophone_substitution,phoneme overlap 4/4=1.00 (high)
TODAY'S CONTESTANTS ARE,TODAY'S CONTESTANTS ARE,T AH D EY Z | K AH N T EH S T AH N T S | AA R,T AH D EY Z | K AH N T EH S T AH N T S | AA R,True,True,,homophone_substitution,phoneme overlap 3/3=1.00 (high)
I FEEL GUILTY WHEN I'M AT HOME,I FEEL GUILTY WHEN I'M AT HOME,AY | F IY L | G IH L T IY | W EH N | AY M | AE T | HH OW M,AY | F IY L | G IH L T IY | W EH N | AY M | AE T | HH OW M,True,True,,homophone_substitution,phoneme overlap 7/7=1.00 (high)
I WILL ALWAYS NEED YOU,I WILL ALWAYS NEED YOU,AY | W IH L | AO L W EY Z | N IY D | Y UW,AY | W IH L | AO L W EY Z | N IY D | Y UW,True,True,,homophone_substitution,phoneme overlap 5/5=1.00 (high)
AS YOU MIGHT SAY,AS YOU MIGHT SAY,AE Z | Y UW | M AY T | S EY,AE Z | Y UW | M AY T | S EY,True,True,,homophone_substitution,phoneme overlap 4/4=1.00 (high)
BUT MY GOODNESS,BUT MY GOODNESS,B AH T | M AY | G UH D N AH S,B AH T | M AY | G UH D N AH S,True,True,,homophone_substitution,phoneme overlap 3/3=1.00 (high)
ALSO KNOWN AS A TANDEM,ALSO KNOWN AS A TANDEM,AO L S OW | N OW N | AE Z | AH | T AE N D AH M,AO L S OW | N OW N | AE Z | AH | T AE N D AH M,False,True,,homophone_substitution,phoneme overlap 5/5=1.00 (high)
SO I THINK IT IS A PIECE OF VERY ONE DIMENSIONAL LEFT WING PROPAGANDA,SO I THINK IT IS A PIECE OF VERY ONE DIMENSIONAL LEFT WING PROPAGANDA,S OW | AY | TH IH NG K | IH T | IH Z | AH | P IY S | AH V | V EH R IY | W AH N | D IH M EH N SH AH N AH L | L EH F T | W IH NG | P R AA P AH G AE N D AH,S OW | AY | TH IH NG K | IH T | IH Z | AH | P IY S | AH V | V EH R IY | W AH N | D IH M EH N SH AH N AH L | L EH F T | W IH NG | P R AA P AH G AE N D AH,True,True,,homophone_substitution,phoneme overlap 14/14=1.00 (high)
THERE IS A HUGE CROSSOVER BETWEEN THE TWO,THERE IS A HUGE CROSS OVER BETWEEN THE TWO,DH EH R | IH Z | AH | HH Y UW JH | K R AO S OW V ER | B IH T W IY N | DH AH | T UW,DH EH R | IH Z | AH | HH Y UW JH | K R AO S | OW V ER | B IH T W IY N | DH AH | T UW,True,False,,boundary_hallucination,"same letters, space differs (tgt_words=8 hyp_words=9)"
TAX CREDITS ARE BASICALLY BENEFITS,TAX CREDITS ARE BASICALLY BENEFITS,T AE K S | K R EH D IH T S | AA R | B EY S IH K L IY | B EH N AH F IH T S,T AE K S | K R EH D IH T S | AA R | B EY S IH K L IY | B EH N AH F IH T S,True,True,,homophone_substitution,phoneme overlap 5/5=1.00 (high)
FORMERLY KNOWN AS SIMON,FORMERLY KNOWN AS SIMON,F AO R M ER L IY | N OW N | AE Z | S AY M AH N,F AO R M ER L IY | N OW N | AE Z | S AY M AH N,False,True,,homophone_substitution,phoneme overlap 4/4=1.00 (high)
I FEEL LIKE THIS,I FEEL LIKE THIS,AY | F IY L | L AY K | DH IH S,AY | F IY L | L AY K | DH IH S,True,True,,homophone_substitution,phoneme overlap 4/4=1.00 (high)
BECAUSE THAT'S HOW YOU ARE A PART OF SOCIETY,BECAUSE THAT'S HOW YOU ARE A PART OF SOCIETY,B IH K AO Z | DH AE T S | HH AW | Y UW | AA R | AH | P AA R T | AH V | S AH S AY AH T IY,B IH K AO Z | DH AE T S | HH AW | Y UW | AA R | AH | P AA R T | AH V | S AH S AY AH T IY,True,True,,homophone_substitution,phoneme overlap 9/9=1.00 (high)
BEFORE I CAME OUT,BEFORE I CAME OUT,B IH F AO R | AY | K EY M | AW T,B IH F AO R | AY | K EY M | AW T,True,True,,homophone_substitution,phoneme overlap 4/4=1.00 (high)
OR MORE CORRECTLY COUNCILS,OR MORE CORRECTLY COUNCILS,AO R | M AO R | K ER EH K T L IY | K AW N S AH L Z,AO R | M AO R | K ER EH K T L IY | K AW N S AH L Z,True,True,,homophone_substitution,phoneme overlap 4/4=1.00 (high)
ESPECIALLY AS IT RELATES TO CHILDREN,ESPECIALLY AS IT RELATES TO CHILDREN,AH S P EH SH L IY | AE Z | IH T | R IH L EY T S | T UW | CH IH L D R AH N,AH S P EH SH L IY | AE Z | IH T | R IH L EY T S | T UW | CH IH L D R AH N,True,True,,homophone_substitution,phoneme overlap 6/6=1.00 (high)
THEY ARE CHILDREN,THEY ARE CHILDREN,DH EY | AA R | CH IH L D R AH N,DH EY | AA R | CH IH L D R AH N,True,True,,homophone_substitution,phoneme overlap 3/3=1.00 (high)
I DO HOPE YOU'LL JOIN US THEN,I DO HOPE YOU'LL JOIN US THEN,AY | D UW | HH OW P | Y UW L | JH OY N | AH S | DH EH N,AY | D UW | HH OW P | Y UW L | JH OY N | AH S | DH EH N,True,True,,homophone_substitution,phoneme overlap 7/7=1.00 (high)
ISLAM ALLOWS POLYGAMY,ISLAM ALLOWS POLIGAMY,IH S L AA M | AH L AW Z | P AH L IH G AH M IY,IH S L AA M | AH L AW Z | ?,False,False,"single-letter deletion: POLYGAMY -> POLIGAMY (missing Y); this is an error, not equivalent",non_word_spelling,prediction has CMU OOV; phoneme-word counts equal (3)
IF YOU HAVEN'T CAUGHT IT YET,IF YOU HAVEN'T CAUGHT IT YET,IH F | Y UW | HH AE V AH N T | K AA T | IH T | Y EH T,IH F | Y UW | HH AE V AH N T | K AA T | IH T | Y EH T,True,True,,homophone_substitution,phoneme overlap 6/6=1.00 (high)
