STATUS | HOMO | PREDICTED | TARGET
WRONG | H | Sunny afternoon | ANYTHING FOR A LAUGH
WRONG | - | Send Briton Affirmation | SEND BRITISH UNIFORMS TONIGHT
WRONG | H | What do you want? | WITHOUT THEM THEY WILL BE SHOT
WRONG | H | A will get well | I WILL GET YOU SOME MORE WINE
WRONG | H | Shady Nation | SHE DOES NOT MIND
WRONG | - | Big Jekyll | BIG JACK PLANES
WRONG | H | And then I heard the words 'What are you doing here?' | AND I THINK IT'S WONDERFUL
WRONG | H | Bath Mouse Won't How Me | BUT MOST OWNERS WENT HOME HAPPY
WRONG | H | bat way wood ater real kall towel | BUT WHY WOULD A WATER RAIL CALL TO US
WRONG | H | Dare to be real | THEY'RE VERY TERRITORIAL
WRONG | H | Bat Aardvark Melon | BUT THERE ARE PLENTY OF OTHER MALES OUT THERE
WRONG | H | Baker talks about the weather | BACK TO THE SEA WATER SO THEY MIGRATE BACK AGAIN
WRONG | H | NAT JOSHAM | NOT JUST THE SALMON
WRONG | H | bat weed bird well | BUT THE WADING BIRDS AS WELL
WRONG | H | I want to dance | EVEN THESE ARE NOT THE CHAMPIONS
WRONG | H | Dawned | DOWN TO ARGENTINA
WRONG | H | And then sing | AND IN THE SPRING THEY GO BACK UP HERE TO DELAWARE BAY BEFORE GOING BACK AGAIN
WRONG | H | sink | IN SIX DAYS AND SIX NIGHTS
WRONG | H | May I have some water, please? | OUR MIGRATIONWATCH IN CONJUNCTION WITH THE RSPB AND ASK YOU TO LOOK OUT FOR THREE TYPES OF
WRONG | H | Dear friend, I am very happy to see you again. I hope you are doing well. I am fine. I have a new job. I am working as a software engineer. I am working in a company called "ABC". I am | THEY'RE NOT VERY FAR AWAY TR ME
WRONG | H | This is a banana. | WE THINK THAT HAS NEVER BEEN SEEN BEFORE
WRONG | - | Don't ask why | DON'T WRESTLE WITH THE CUBS
WRONG | H | What is the weather today? | WHICH TOP CHEF WILL YOU TURN TO FOR INSPIRATION TODAY
WRONG | - | What is the weather forecast? | WE'VE GOT ALL YOUR FAVOURITES THE NATION'S TOP TV CHEFS
WRONG | H | A loan won't pay. | ALL IN ONE PLACE
WRONG | - | Lay a chalk on the table | LIKE THE CHILD OF THE TAKEAWAY
WRONG | - | Waylksking | WHILST COOKING THIS RECIPE
WRONG | H | Rey Kips Sing | RACHEL KHOO KEEPS SAYING IT'S NOT THAT EASY ON THE NOSE
WRONG | - | This is a test | IT'S A BIT WHIFFY
WRONG | H | Now I am going to pick a letter | I KNOW A LOT ABOUT PICKLING CUCUMBERS
WRONG | H | Now, I want to play a ball. | I KNOW ABOUT PICKLING OTHER VEGETABLES
WRONG | - | And Moses said | AND MOST OF THEM ACTUALLY COME FROM FRANCE
WRONG | H | This is a test | IT'S A REAL SHAME
WRONG | H | This is a test. | THAT'S ALL THE COOKING WE'VE GOT TIME FOR TODAY
WRONG | H | Hear the word 'yard'? | HOW'S YOUR DAY GOING
WRONG | H | What did you do yesterday? | WHAT DO YOU THINK
WRONG | - | ballenger | A BOULANGER FAN LIKE THIS
WRONG | H | Let's room away. | LET'S REMIND OURSELVES WHAT THE RED TEAM BOUGHT
WRONG | - | What do you want to do? | THIS WAS THE MOST FORMAL ENTERTAINING ROOM THE WITHDRAWING ROOM
WRONG | H | bat den wait | BUT DON'T WORRY
WRONG | H | What happened? | WHAT WILL HAPPEN IN THE AUCTION
WRONG | H | Duck | DO PICK THE VICAR UP
WRONG | H | Yes, I have a falser. | YOU JUST FOLLOW ORDERS
WRONG | H | Avin Bink Krapton | I'VE BEEN CONSCRIPTED
WRONG | - | This is a test | THAT'S A GOOD IDEA
WRONG | H | Way down in the valley | WHY DON'T I GO TO GREENLAND
WRONG | H | I want a gun | EVEN IF I GOT TO GREENLAND
WRONG | H | I love grey kangaroos. | ALEXANDER THE GREAT WAS CONQUERING PERSIA
WRONG | H | Nathan won the medal | NOT THE ONE WITH THE MERCEDES
WRONG | H | A wayz, how are you? | I WAS HOPING FOR A QUIET DAY
WRONG | - | This is a ball. | IT'S A BIG RESPONSIBILITY
WRONG | H | Simpal Hefppler | SOME PEOPLE HAVE FOREPLAY
WRONG | H | I had a meal | IN THE MIDDLE OF THE NIGHT
WRONG | H | Shimmy was humming a hymn. | SHE GAVE ME ONE OF HER SMILES
WRONG | - | Hello, I need a roll of string. | HE NEVER REALLY STOOD A CHANCE
WRONG | H | Yukon | YOU CAN'T EVEN REMEMBER IT
WRONG | H | Aiken | I CAN NOW DEAL WITH THE EVERYDAY
WRONG | H | And when am I wrong | AND WHEN I AM WITH MY WIFE
WRONG | H | Kammat | COME TO ME TONIGHT
WRONG | H | This is a test of the emergency broadcast system. | THEY HAVE BEEN HIDDEN IN THE CUPBOARD BY THE UNDERGROUND
WRONG | H | I wish you a pleasant day | IF WE SPLIT THE PROCEEDS
WRONG | H | This is a test. | IT'S A VERY AFFLUENT AREA
WRONG | - | SAY SAM TAY | AT THE SAME TIME
WRONG | - | This is a roll of film. | THE CANOPY'S REALLY SMART
WRONG | H | Yakkenjhadalzforbaskebt | YOU CAN CHANGE THE HANDLES FOR THE BASKET
WRONG | H | A very lovely world | I'VE ALWAYS BEEN TOLD
WRONG | H | Pilot Bay Toz | PEOPLE THAT BUY TOYS
WRONG | - | Sit bold still | SEATED BELOW STILL AT 65
WRONG | H | What is happening | WHAT IS HAPPENING OUT THERE DURING THE NIGHT
WRONG | H | This is a test of the emergency broadcast system. | THE THING THAT DRAWS THEM ALL HERE IS A QUARTER OF A MILLION WADERS ARRIVING HERE IN AUTUMN
WRONG | H | What is the weather? | THEY WOULD LIKE TO HEAR ABOUT ANY SIGHTINGS OF HEN HARRIERS THAT YOU HAVE
WRONG | H | I want to sing | IF YOU THINK YOU HAVE SEEN ONE
WRONG | H | And now you know | AND NOW YOU CAN TELL THEM APART
WRONG | H | Soccer Dater Worried About Siblings' Safety | SQUARE KILOMETER OF THAT WITH ALL THE SPECIALIST SPECIES THERE
WRONG | H | I am a stranger | OUR CAMERAMAN WILL BE THERE SHOWING YOU THOSE STARLINGS LEAVING THE ROOST
WRONG | H | I think I know I'll be able to | IT CAN BE EQUALLY SPECTACULAR
WRONG | H | Let me tell you about the shark. | LET ME TELL YOU SOMETHING RATHER SPOOKY HAPPENED TO US JUST BEFORE THE SHOW
WRONG | - | And roll it | AND REALLY IT DID
WRONG | H | This is a machine that can recognize words. | THE STORM THAT HIT MUCH OF THE SOUTHERN PARTS OF THE COUNTRY EARLIER ON IN THE WEEK
WRONG | H | I want a dog | INSTEAD WE GOT THIS
WRONG | H | I think you're a very nice person. | IT IS VERY CALM AT THE MOMENT
WRONG | H | I want to go home | ACTUALLY WE GOT HIT REALLY HARD
WRONG | H | What is the ball? | WE HAVE TO BE REALLY CAREFUL ABOUT THAT
WRONG | - | Berd | THE BIRD'S BILL
WRONG | H | Don't talk about it | THE ONLY PROBLEM IS IN A DEAD TREE AND A LOT OF IVY
WRONG | H | I think I can't talk | IT CAN CATCH THE WIND AND IT MIGHT TOPPLE OVER
WRONG | H | Winston grew a long walrus | WHEN IT IS GROWING ON WALLS
WRONG | H | Butterfly dance | BUT WE DID LEARN A LOT FROM THAT EXPERIMENT
WRONG | H | Was it a bird? Was it a plane? Was it a bird? Was it a plane? | WE OBVIOUSLY SAW THE THINGS THE BIRDS FEED ON
WRONG | H | This is a test | IT DID NO DAMAGE TO THE WALL
WRONG | - | IPTFROST | IT PROTECTED IT FROM FROST
WRONG | - | Sally went to the palace. | SALT AND POLLUTION
WRONG | H | What is the name of the animal? | WE WANT TO FIND MORE OUT ABOUT HOW ANIMALS LIVING ALONGSIDE US
WRONG | H | Izzy Grey's Roses For Wall Laff | IT IS A GREAT RESOURCE FOR WILDLIFE
WRONG | H | I have a ball | IN AMONGST ALL OF THESE BUILDINGS
WRONG | H | And I heard a voice saying, 'Look, the Lamb is standing on Mount Zion, and with Him one hundred and forty-four thousand, who have His name and the name of His Father, who are written in the Lamb's Book of Life | AND HERE YOU CAN SEE FOXES LINING UP IN THE DAYTIME
WRONG | H | bring food to the sick | BRINGING FOOD TO EAT IT SECURELY
WRONG | H | I have a springy tam | IN THE SPRING TIME
WRONG | H | Where are the batteries? | WHERE ARE THE BEST PLACES OUT THERE TO FEED
WRONG | H | Dhati Rasa Sampleez Dhatey Baterer Dhanader | THERE ARE SOME PLACES THAT ARE BETTER THAN OTHERS
WRONG | - | And I hate | AND IT ALL DRIES OUT
WRONG | H | sit zonat josh dot | IT IS NOT JUST ABOUT THAT
WRONG | - | Sally took the wallet | OTTERS WILL TAKE BIRDS
WRONG | H | Winston is full of life | WE KNOW IT IS VAST AND FULL OF LIFE
WRONG | - | Don't want to talk to you | DON'T WANDER INTO THE MUDFLATS ON YOUR OWN
WRONG | H | And let's just say goodbye | AND LET'S JUST GO BACK TO THAT MAP THAT DAWN HAD THERE
WRONG | H | FIND WITCH | FEEDING IS SOMETHING WHICH WE HAVE IMMEDIATELY LEARNED
WRONG | H | This is a test of the emergency broadcast system. | THAT'S HUMANS FEEDING FOXES IS VERY IMPORTANT TO THESE ANIMALS
WRONG | - | Let's just say that | LET'S JUST RECAP
WRONG | H | I have a plan | OUTSIDE OF THOSE PEOPLE WHO ARE PROVIDING IT FOR THEM
WRONG | H | <SOS> wine <space> date <space> date <space> <EOS> | WHEN THEY DO THAT
WRONG | H | The word is 'rowing'. | TOMORROW WE'RE GOING TO HEAD NORTH
WRONG | H | I have a lot of friends. | OUT OF THE CITY AND INTO THE SUBURBS TO LOOK AT SOME MIDDLE CLASS FOXES AND SEE HOW THEY LIVE THERE
WRONG | H | I want sex | EVEN WHAT SEX THEY ARE
WRONG | H | Mamonahypalishadrol | MORE MANIPULATION OF HYDRAULIC
WRONG | H | What is the name of the last person to die? | WE THINK SOME OF IT IS DOWN TO THE OBSTRUCTIONS IN THE WATERWAY
WRONG | H | Mowspipaldefaintikantisethandsandrandsyou. | MOST PEOPLE DEFINE ANTIQUE AS SOMETHING THAT'S AROUND 100 YEARS OLD
WRONG | H | FARM MOWS | FOR THE MOST PART
WRONG | - | I am a doctor. | THE MODERN ERA WAS ALL ABOUT MASS PRODUCTION
WRONG | H | What kind of mad man are you? | WHICH MEANS MODERN COLLECTIBLES AREN'T VALUED FOR THEIR RARITY
WRONG | H | What's the weather like today? | WE'RE GOING TO BE EXPLORING WHAT MAKES A 20TH CENTURY DESIGN CLASSIC AND WHAT NAMES AND
WRONG | H | Gopher is a spiky droid | GO FOR SOMETHING THAT SPEAKS OF THE PERIOD
WRONG | - | Beyser, Fasher, Dater, Woker, Aver, Woker, Aver, Woker, Aver, Woker, Aver, Woker, Aver, Woker, Aver, Woker, | BASICALLY FISHERMAN THAT WERE OUT OF WORK
WRONG | H | I have a friend who is a writer. | IF IT WAS ROUGH AND THEY COULDN'T GO OUT IN THEIR BOATS
WRONG | H | Sammy was here, but he's not here now. | THEN SOMEBODY WAS TEACHING THEM HOW TO WORK WITH COPPER
WRONG | H | I think you're a nice person. | YOU THINK OF WILLIAM DE MORGAN AND HIS WONDERFUL TILES AND CERAMICS AND YOU THINK OF PEARSON AND
WRONG | - | I am a man and I am a man and I am a man and I am a man and I am a man and I am a man and I am a man and I am a man and I am a man and I am a man | THAT REMINDS ME OF THE 30S
WRONG | H | Nathan Walter died in hospital | NOT JUST IN THE WORLD OF TEDDY BEARS WE'VE ALL HEARD OF HIM BUT ALSO
WRONG | H | Singer's attention | A SIGNIFICANT NAME IN 20TH CENTURY DESIGN
WRONG | H | Let's forget | LET'S NOT FORGET
WRONG | H | I don't want to be a part of it. | THIS LADY IN A MALE DOMINATED WORLD WAS THE PIONEER OF TEDDY BEARS AND EVEN INVENTED
WRONG | H | Virus sat on the table | VERY SOUGHT AFTER
WRONG | H | Sandra's mother was a dancer | ARE THE RAREST AND THEREFORE THE MOST VALUABLE
WRONG | H | I love you. | A COUPLE OF YEARS AGO
WRONG | H | Hello, I am a robot. | A HARLEQUIN EXAMPLE MADE ALMOST 50
WRONG | H | What is the weather? | WHICH IS A LOT OF MONEY FOR ANY TEDDY BEAR
WRONG | - | What's the time? | THEY WERE QUITE COMMON EXAMPLES
WRONG | H | This is a test of the emergency broadcast system. | THEY'RE NOT THAT RARE OR VALUABLE SO TWO PEOPLE GOT CARRIED AWAY AND THAT'S WHEN YOU END UP WITH A
WRONG | - | Some and soulful | SIMPLY AND SOLELY
WRONG | H | Dan Ann Dorker Inked | THERE ON THE ORIENT EXPRESS
WRONG | H | Fellenger | FLAPPER GIRLS DANCING IN THE BACKGROUND
WRONG | H | Mandalay | MORE AND MORE ALIVE BY EVERY BID
WRONG | - | This is a test of the emergency broadcast system. | IT'S IMPORTANT THAT THE PAINTWORK ISN'T CHIPPED
WRONG | H | Where are you going to? | WE'RE LOOKING FOR THE RARER ONES
WRONG | H | What am I going to do? | WHAT I'M GOING TO TALK ABOUT IS BUYING ON A BUDGET
WRONG | H | Katherine wants to spend the weekend with her friends. | CREATING THAT LOOK BUT WITHOUT SPENDING THOUSANDS AND THOUSANDS OF POUNDS
WRONG | - | Narrow your eyes | NOR WILL ANYONE ELSE THAT YOU'RE SAT WITH
WRONG | H | Batsimayoshonkennybavely | BUT SOMETIMES IMITATIONS CAN BE OF VALUE
WRONG | H | Naked | AS NICK HALL EXPLAINS
WRONG | H | IZALIVEBOOKAVEROWEYT | EASILY KNOCK THAT OVER BECAUSE OF THE WEIGHT
WRONG | H | This is a rat. | HE CHOSE THE RIGHT THING
WRONG | H | I heard a report about the attack on the White House. | HERE ARE OUR EXPERTS TO GIVE YOU THE LOWDOWN ON WHAT TO LOOK OUT FOR AND WHAT MAKES THEM SO POPULAR
WRONG | - | This is a test. | THE REACTION WAS WONDERFUL
WRONG | H | <SOS> don't <space> won't <space> want <space> <EOS> | DO YOU KNOW WHAT
WRONG | H | What is the matter? | WHATEVER IT MIGHT BE
WRONG | H | You've got a virus | YOU'VE GOT A VERY GOOD PRODUCT
WRONG | H | bat wall lick | BUT WITH LALIQUE
WRONG | H | You've got a nice day. | YOU HAVE YOU'VE GOT HIS NAME
WRONG | H | Yes, Virginia, there is a Santa Claus. | YOU'VE GOT THE CACHE OF HIS NAME
WRONG | H | What's the matter with me? | WHICH MAKES IT A GUILT EDGED INVESTMENT
WRONG | - | What's the matter? | WITH THAT CLOCK
WRONG | H | Yaddwerfapizwel | YOU HAD A WONDERFUL PIECE AS WELL
WRONG | H | Said the cat to the rat | SO ADD THE TWO TOGETHER
WRONG | H | Yank it | YOU CAN'T REALLY FAIL
WRONG | H | Shawn Foster | SHE WAS ONE OF THE FIRST
WRONG | H | What is the address? | WE'VE JUST HAD THE FIRST WORLD WAR
WRONG | H | I love ham and eggs | A LOT OF THE MEN HAD PASSED AWAY
WRONG | H | Shut the lock door | SHE LOOKED TO MODERNISM
WRONG | H | Shiloktawardzanannont | SHE LOOKED TOWARDS THE CONTINENT FOR INSPIRATION
WRONG | H | Saw a woman with a wand | SO I WAS INSTANTLY DRAWN TOWARDS IT
WRONG | - | And the dog was alive. | AND THIS WAS A LOVELY EXAMPLE
WRONG | H | Nathan's throat hurts | NOT JUST TO THROW IT ON THE TIP
WRONG | H | They talk about the talk. | TAKE IT ALONG TO ONE OF OUR VALUATION DAYS AND GET IT CHECKED OUT
WRONG | H | FARROT | FOR THE RIGHT THING
WRONG | H | Able | I PROBABLY WOULD
WRONG | H | bat arm man arm out | BUT THERE ARE MANY MORE OUT THERE
WRONG | H | Where are the words? | WHOSE WORK DESERVES MORE ATTENTION
WRONG | H | Daisy Gathers | DO YOU GO HOME AND QUESTION WHAT YOU'VE GOT
WRONG | H | And I want to go to work | AND I TELL YOU WHAT
WRONG | H | And the house is on fire | AND I HOPE IT'S INSPIRED YOU TO DO THE SAME
WRONG | - | Kiss your sister and wolf down your food | QUESTION WHAT YOU'VE SURROUNDED YOURSELF WITH
WRONG | H | I am a lawyer. | EXPERTS ARE REGULARLY ON THE LOOKOUT FOR THOSE STANDOUT PIECES
WRONG | H | Sow a Kist of Wheat | SO CHRISTINA WAS DELIGHTED TO MEET LESLEY
WRONG | H | BAT'S AIDING SISTER FORGOT THE FISH | BUT I THOUGHT I'D SEE SOMETHING FOR IT
WRONG | H | And sow a pot of potatoes in a primordial time band. | AND SO I PUT SOME IN PREMIUM BONDS AND SAID
WRONG | H | Johny needs a flower | JUST NUDGE ERNIE FOR ME WHILE YOU'RE THERE
WRONG | H | Naduz | NOW DO THE BUSINESS
WRONG | H | Bath Hone | BUT HE HASN'T BEEN LISTENING YET
WRONG | H | Aldershot | I HAD LOTS OF PEOPLE SAY TO ME
WRONG | H | And Aylkund Hired May Haze Boned Singing | AND I COULD ALMOST HEAR MY HUSBAND SAYING
WRONG | H | bat and am trying to find a hand | BUT I'M TRYING AND I'LL GET THERE IN THE END
WRONG | H | I have a son. | I HOPE THAT'S GIVEN YOU SOME INSPIRATION TO HAVE A RUMMAGE IN YOUR ATTICS
WRONG | H | You know what's wrong with this world? It's that people are so stupid. They don't know what they want. They don't know what they need. They don't know what they want. They don't know what they need. | YOU COULD BE SITTING ON A SMALL FORTUNE
WRONG | H | This is a test | THAT'S IT FOR TODAY'S TRADE SECRETS
WRONG | H | MAY FRISSAL FLORAL DECKER EYSHON FORT TEBLISN DIZERV FEST PRAZ | MY FREESTYLE FLORAL DECORATION FOR A TABLE CENTREPIECE DESERVED A FIRST PRIZE
WRONG | H | What should I do with the ball? | WE SHOULD BE LOOKING AT SMALL
WRONG | H | Aylfilder | I FEEL BETTER ALREADY
WRONG | H | What if I were a woman? | WOULD YOU COME AWAY FROM THAT CAR
WRONG | H | MAY I HAVE A PIZZA | MIND THE PEDESTRIAN
WRONG | H | She was wearing a white wedding gown. | SHE'S WHY WE GET UP AN HOUR EARLY
WRONG | H | Aidan has a plan | I DO NOT HAVE A SPECIAL OFFER ON SPICY PRAWN BALLS
WRONG | H | AOL is a part of the Internet. | ALSO I FEEL IT'S A DUTY ON MY PART
WRONG | H | The robot burned the barn. | TORN BETWEEN THE RINGING AND THE FATE OF MY TABLE OR BURMESE RUG
WRONG | H | A thing can happen | I THINK I CAN PROMISE YOU
WRONG | H | What's the matter? | WE SHAN'T LET YOU DOWN
WRONG | H | I am going to get a dog. | HOW AM I GOING TO GET OUT OF ERE
WRONG | H | Aye, how are you, honey? | I HOPE THEY AVE A GOOD PLAN
WRONG | H | I hug you | IF YOU GIVE US AWAY
WRONG | - | NOW IZ AID | NOVEMBER IS IDEAL
WRONG | H | This is a bat | DECEMBER IS FINE BUT
WRONG | H | This is a test of the emergency broadcast system. | IT IS REALLY HARD TO PICK EXACTLY THE RIGHT ONES AND SOMETIMES YOU NEED TO GO AND SEE THEM
WRONG | H | Baked | A BUCKET WOULD DO
WRONG | H | bat down | BUT UPSIDE DOWN
WRONG | - | <SOS> John has a book <space> John has a book <space> John has a book <space> John has a book <space> John has a book <space> John has a book <space> John has a book | JUST ABOVE FREEZING
WRONG | H | What is the weather? | WHICH IS AS FULL OF MEMORIES AS IT IS OF FLOWERS
WRONG | - | Biscuit | BEING SUCH A BUSY WOMAN
WRONG | H | This is a test | THAT'S IT FOR THIS WEEK
WRONG | H | I have a wallet. | I HOPE YOU HAVE A REALLY GOOD WEEKEND AND NEXT WEEK WE'RE BACK AT OUR NORMAL TIME OF
WRONG | H | This is a sentence. | THERE IS ONE ON ITS WAY
WRONG | H | Wayland is a good person | THE WILDLIFE ARC TRUST HAVE INVESTIGATED A VACCINE FOR RED SQUIRRELS SO THEY DON'T GET THE
WRONG | H | A while ago, don't you think? | I WILL GO DOWN TO THE BEHAVIOUR
WRONG | H | This is a test. | TENS OF THOUSANDS COME HERE EVERY YEAR
WRONG | H | Yanahallatimortailatiyot | YOU HAVE NATURAL MORTALITY
WRONG | H | Now my sink is broken | NO MEANS OF SNEAKING UP
WRONG | - | Still land and don't worry well | STILL ALIVE AND DOING WELL
WRONG | H | What's wrong with the sky? | ONE MINUTE WE ARE ENJOYING THE SPECTACLE
WRONG | H | What is the name of the animal? | WE HAVE NOT ANALYSED ALL OF THE DATA YET
WRONG | H | Fifty years ago, the first man landed on the moon. | 57 OF ALL OF OUR SIGHTINGS CAME FROM PEOPLE DRIVING THEIR CARS OR PASSENGERS IN THEIR CARS
WRONG | H | This is a sample sentence. | DOES THIS MEAN WE ARE SPOTTING MORE WHEN WE ARE DRIVING SIMPLY BECAUSE WE ARE LOOKING FOR THEM
WRONG | - | I am a computer scientist | THE AUTUMN RUT HAS UNEXPECTED CONSEQUENCES
WRONG | H | A man met a man at the post office. | I MET A MAN WHO IS PASSIONATE ABOUT BRITISH DEER
WRONG | H | I hear a scream | HERE IS AN AMAZING FACT OWLS CAN TELL EACH OTHER'S VOICES
WRONG | - | This is a bird. | THEY HAVEN'T HAD A GREAT BREEDING SEASON
WRONG | H | I think about the bow tie | ACCORDING TO THE BTO SURVEY
WRONG | H | I want to sing | AS WE HAVE BEEN SAYING
WRONG | H | Daredevil | THEY ARE REPEATEDLY SURVEYED
WRONG | H | Ask for a straw | OUR KESTREL SURVEY
WRONG | - | Pardon me | PREDOMINANTLY FROM THE ATLANTIC
WRONG | H | I want to buy a wand | IT WILL OFTEN BE WINDY
WRONG | - | Pardon me | PREDOMINANTLY FROM THE ATLANTIC
WRONG | - | Peanamind | PERHAPS ON MONDAY
WRONG | H | Kip Dong Kim In | KEEP THOSE COMING IN
WRONG | - | This is a test | THAT MAKES IT EASY
WRONG | H | Bears the king's daughter | BARRY SEEMS TO THINK THIS IS A CARVED STONE
WRONG | H | Butterfly handshaker byby. | BUT IF IT IS OVER 300 YEARS OLD IT COULD POTENTIALLY BE THE TUSK OF A
WRONG | H | But won't dent the ant now | BUT WE DON'T REALLY KNOW
WRONG | - | AND LEAD EAGLE Z | AND IT LAID EGGSES
WRONG | H | Aunt Thering Kong | I DON'T THINK YOU'RE GOING TO LOSE YOUR SHIRT
WRONG | H | Let's roll | LET'S NOT RULE THAT OUT
WRONG | H | What's the matter? | WE DON'T WANT TO MAKE ROCKET DEAL AGAIN
WRONG | H | Don't annoy the audience | THEY NEED AN ECM ADVISER
WRONG | - | I have a mayonnaise | IT'S MILES AWAY
WRONG | - | And the door key was found | AND THE CORKAGE
WRONG | - | <SOS> did fly home <EOS> | THEY'D FLY HOME
WRONG | H | What gang had a hand killed the lathe worker. | WE GOT BACK AND IN THE COLD LIGHT OF GATWICK AIRPORT
WRONG | H | When you go home, tell them of us and say, for the living, there are many more and for the dead, we shall not forget them | WHEN YOU GOT HOME
WRONG | H | Hatter | HOW TO RECREATE IT
WRONG | H | What's wrong with you? | YOU WANTED TO MAKE IT WHEN YOU COME HOME
WRONG | H | NATPAM | NOT A PAN OF MUD
WRONG | H | Bike fast, then ask questions | BECAUSE HERE TO ASSIST US
WRONG | H | Akin Potnis | I CAN PUT THIS IN
WRONG | H | RAY WOLF BRYAN | RICE WILL BE BRILLIANT
WRONG | H | I want to talk to you | EVEN THOUGH THEY HAVE TO PAY A COUPLE OF PENNIES MORE
WRONG | H | Pillow Gator Trawler Year Bunker Yawner Duffer Ant Den | PEOPLE GO TO YOUR RESTAURANT BECAUSE YOU DO SOMETHING A BIT DIFFERENT THAN THE
WRONG | H | And then we saw | AND IN THE SAME WAY
WRONG | H | This is a test. | IT'S FORCED AIR
WRONG | H | You have a virus | YOU HAVE A VERY FIRM PEAR
WRONG | H | Meat Fard | MAYBE FOR A DAY
WRONG | H | Wich bird | WHICH IS AS BIRD WHICH
WRONG | H | Killer doll lizards in the yard | CLARISSA FROM THE TWO FAT LADIES ABSOLUTELY LOATHES IN THE WILD
WRONG | H | Nathan Tucker got kicked out | NOW IT'S YOUR TURN TO GET COOKING
WRONG | H | The angel was aware | THANKS TO ALL OUR CHEFS
WRONG | H | Alligator | I LIKE BEING IN PLACES
WRONG | H | Aging | I HATE GETTING THERE
WRONG | H | Aunt has a nice house | I DON'T HAVE THAT SENSE OF COMPULSION
WRONG | H | This is a star. | THEN YOU START AGAIN
WRONG | - | This is a test | SINCE THAT TIME
WRONG | H | This is a test of the emergency broadcast system. | THEY SAID I CONTRIBUTED EFFECTIVELY TO THE ATMOSPHERE
WRONG | - | Sam Lang Det | SOMETHING LIKE THAT
WRONG | H | I don't know how to say that | ON THE THRESHOLD OF GREATNESS IN THE ENGLISH THEATRE
WRONG | H | Aunt won't help | I WENT TO HOLLYWOOD
WRONG | H | Aunt Billy died | I DON'T BELIEVE THAT
WRONG | H | deer | THEY'RE VERY RARE
WRONG | H | Amanat | I'M NOT POWERFUL
WRONG | - | I want a gate | I'VE GOT ABOUT 50
WRONG | H | I am a big thing that thinks. | I'M BEGINNING TO THINK THAT I WOULD HAVE GONE MAD
WRONG | H | I have a sister, I have a sister, I have a sister, I have a sister, I have a sister, I have a sister, I have a sister, I have a sister, I have a sister, I have a sister | IF YOU SURVIVE SUCH A BACKGROUND
WRONG | H | What is the address? | WHEN HE'S HAD A FEW DRINKS
WRONG | H | Lay a word on the tongue | LEE WAS TRYING TO EXPLAIN TO HIM HOW TO ACT
WRONG | H | How was your day? | HE WAS VERY GOOD
WRONG | H | Bowl Let Daw | BLOW LET THE WILD
WRONG | - | And then I saw a day | AND THE ENVOI IS ALWAYS DYING
WRONG | H | I want Dan's mother. | I'VE DONE THE MOST UTTER RUBBISH
WRONG | H | Awason | I WAS SO FASCINATED
WRONG | H | This is a hand signal. | IT'S ROCK HUDSON AND ALL THE CLOSE UPS
WRONG | H | This is a sentence. | IT'S AN ENGLISHMAN CALLED GREEN
WRONG | H | Aren't they nice? | I EARNED 8 MILLION
WRONG | - | SAD DONG DAD | STOP DOING THAT
WRONG | H | A woman wants to know | I WOULDN'T QUARREL WITH THAT
WRONG | - | Herd langerd | HEADLONG RUSH TOWARD
WRONG | H | A thing done | I THINK YOU'D HAVE WON IT
WRONG | H | What kind of talk are you talking? | WHEN IT COMES TO MARKET VALUE
WRONG | H | And I want to know what | AND IT WAS ABOUT QUARTER PAST ONE
WRONG | H | I have a friend. | ENERGY EFFICIENT HOMES THE ARCHITECTS TURNED TO THE PREFAB
WRONG | H | I hate the fact that I have to do this. | ARCHITECTS HAVE TAKEN THE IDEA OF THE FLAT PACK
WRONG | - | And later ran with it | AND LITERALLY RUN WITH IT
WRONG | - | Yes, I'm going to the office. | USING ENERGY EFFICIENT RECYCLED MATERIALS
WRONG | H | Bollion | BELIEVE IT OR NOT
WRONG | H | This is a test of the emergency broadcast system. | IT'S RECYCLED TELEPHONE DIRECTORIES WHICH ARE PUMPED IN AFTERWARDS
WRONG | - | This is a bat. | THERE'S A BIT OF VITALITY ABOUT THE PLACE
WRONG | H | What is wrong with you? | WE AGREED WITH YOUR VALUATION
WRONG | H | This is a test. | IT'S GOING TO SELL
WRONG | H | What are you doing here? | WE ARE COMING BACK HERE LATER ON IN THE SHOW
WRONG | - | This is a small sample of the English language. | THERE'S A LITTLE BIT ABOUT BUYING A SMALL SIZE AND THEN LEAVING IT SLIGHTLY OPEN AT THE BACK
WRONG | H | This is a test of the emergency broadcast system. | THEY CHOSE THE ONE THAT WAS COMFORTABLE
WRONG | - | this is a roll | THAT'S IT REALLY
WRONG | H | What's the weather? | WHISPER IN MY EAR
WRONG | H | This is a test. | TWO GLASS VASES JUST ABOUT TO GO UNDER THE HAMMER
WRONG | H | What did you do yesterday? | WHAT DO YOU THINK
WRONG | H | All the letters | I'LL LET YOU KNOW
WRONG | H | Alligator | I'LL DO IT FOR YOU
WRONG | H | Wherever you go, there you are. | WE'RE VERY GRATEFUL
WRONG | - | And do you feel better? | AND THEY FALL OVER ALL THE TIME
WRONG | H | What's the matter? | WE'VE GOT TWO OPTIONS
WRONG | H | Aymat Mtrayng Mndz | I'M TRYING TO MAKE AMENDS
WRONG | H | Hannah wants to meet me today | HOW YOU WANTED ME DEAD
